"sample.id","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Castanea","Ceanothus/Rhamnus","Corylus","Ericaceae undiff.","Fagus","Fraxinus","Galium","Ilex","Juniperus","Larix","Lonicera","Lycopodiaceae undiff.","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Salix","Sambucus","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum","Asteraceae undiff.","Cupressaceae undiff.","Juglans","Myricaceae undiff.","Plantago","Platanus","Rumex/Oxyria","Adiantum","Botrychium","Caryophyllaceae undiff.","Celtis","Chenopodium","Cyatheaceae","Diphasiastrum","Fabaceae undiff.","Humulus/Cannabis","Huperzia","Iva","Pinus undiff.","Polygonum","Vitis","Xanthium","Epilobium","Hamamelis","Polypodiophyta undiff.","Aquifoliaceae undiff.","Nyssa","Cephalanthus","Cornus","Liquidambar","Morus","Ranunculaceae undiff.","Rhus","Sarcobatus","Urticaceae","Clethra","Dennstaedtia","Polygonaceae undiff.","Secale","Zea","Cistaceae undiff.","Rubus","Thuja","Campanula","Dryopteris","Liriodendron","Magnolia","Polemonium","Sanguisorba","Selaginella","Amorpha","Bidens","Brassicaceae","Ephedra","Impatiens","Liliaceae","Persicaria","Potentilla","Taxus","Violaceae undiff.","Araliaceae","Athyrium","Cladium","Coniferae undiff.","Cystopteris","Gentianaceae undiff.","Hypericum","Iridaceae undiff.","Lamiaceae undiff.","Moraceae undiff.","Ophioglossum","Oxalidaceae","Plumbaginaceae","Polypodium","Primula","Ranunculus","Rubiaceae undiff.","Saxifragaceae undiff.","Solanaceae undiff.","Trifolium","Cannabaceae undiff.","Vitaceae","Saxifraga","Caprifoliaceae undiff.","Polyonum","Cerealia","Campanulaceae undiff.","Polygalaceae","Portulacaceae","Bistorta","Caltha","Menyanthes","Onagraceae undiff.","Gentiana","Gymnocarpium","Linnaea","Sapindaceae undiff.","Alismataceae","Elaeagnaceae undiff.","Mentha","Salsola","Stachys","Zanthoxylum","Dalea","Euphorbiaceae undiff.","Pedicularis","Ribes","Scrophulariaceae","Zamia","Ericaceae subf. Monotropoideae","Rhamnaceae undiff.","Shepherdia"
1,4,1,2,0,2,0,0,2,0,0,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,3,0,1,0,0,1,0,0,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,2,0,1,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,2,4,0,1,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,4,0,0,0,0,1,0,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,0,4,0,2,0,0,0,0,0,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,1,1,0,0,0,1,0,0,58,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,15,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,2,3,0,2,0,0,1,0,0,56,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,1,1,0,3,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,1,2,0,1,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
