"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Aquifoliaceae undiff.","Artemisia","Asteraceae undiff.","Betula","Carya","Castanea","Cistaceae undiff.","Corylus","Cupressaceae undiff.","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Myrica","Nyssa","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Quercus","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"1","772","Duck Pond",41.9327,-70.0005,0,-312,161,-62,0,5,2,0,13,0,0,5,20,1,1,0,0,3,0,2,1,0,0,0,23,0,2,1,27,2,132,5,1,8,1,41,14,0,0,4,2
"2","772","Duck Pond",41.9327,-70.0005,12,-116,438,143,0,4,4,0,22,1,2,5,29,3,1,0,0,4,2,3,0,1,0,0,24,0,2,1,26,0,130,4,3,24,0,74,12,1,0,1,4
"3","772","Duck Pond",41.9327,-70.0005,25,97,705,364,0,9,10,1,37,0,0,14,83,7,5,0,0,5,4,13,4,1,0,1,42,2,5,3,28,13,156,3,0,31,0,137,39,2,0,5,3
"4","772","Duck Pond",41.9327,-70.0005,28,160,754,414,0,3,5,1,22,0,1,7,38,2,2,0,0,0,3,10,1,1,0,0,39,1,3,3,15,1,102,0,1,17,0,55,0,0,0,4,1
"5","772","Duck Pond",41.9327,-70.0005,31,219,814,468,0,7,7,1,18,1,1,5,31,1,3,0,0,4,3,15,0,2,0,1,28,0,4,3,19,3,108,3,2,6,0,63,34,0,0,6,0
"6","772","Duck Pond",41.9327,-70.0005,35,295,909,551,0,1,3,1,3,0,3,3,33,4,1,0,0,1,1,12,4,2,0,0,18,1,2,1,8,2,86,0,0,7,0,69,17,0,0,9,3
"7","772","Duck Pond",41.9327,-70.0005,45,544,1264,889,1,3,3,0,0,0,0,3,37,8,3,0,0,1,1,13,4,0,0,1,19,0,4,1,9,6,122,0,0,6,0,116,3,0,0,12,7
"8","772","Duck Pond",41.9327,-70.0005,55,883,1669,1262,1,1,4,0,0,0,0,6,27,9,1,0,0,2,2,36,4,1,0,0,14,0,2,1,17,17,128,0,0,2,0,73,0,0,0,11,4
"9","772","Duck Pond",41.9327,-70.0005,65,1201,2368,1694,0,4,5,0,1,0,0,4,32,6,1,0,1,0,0,20,4,0,0,0,15,0,3,0,20,12,174,0,0,4,0,52,1,1,1,10,4
"10","772","Duck Pond",41.9327,-70.0005,75,1533,2945,2160,0,9,4,1,0,0,0,0,20,7,1,0,0,1,0,17,4,0,3,0,13,0,3,0,20,12,138,0,1,4,0,105,0,1,0,2,4
"11","772","Duck Pond",41.9327,-70.0005,82,1804,3292,2488,0,1,3,1,0,0,0,0,15,0,0,0,0,1,0,8,1,0,0,0,14,5,2,0,8,10,110,0,2,3,0,124,0,0,0,9,6
"12","772","Duck Pond",41.9327,-70.0005,101,2575,4190,3395,0,5,2,1,0,0,0,0,23,5,1,0,0,2,0,14,3,0,0,0,17,0,4,0,13,17,162,0,2,1,0,67,0,0,0,4,4
"13","772","Duck Pond",41.9327,-70.0005,105,2740,4376,3585,0,7,5,0,1,0,0,0,36,6,0,0,0,0,0,27,6,0,0,0,27,2,4,0,12,13,124,0,0,5,1,133,0,0,0,7,7
"14","772","Duck Pond",41.9327,-70.0005,115,3204,4782,4059,0,6,1,0,0,0,1,0,20,10,0,0,0,1,0,33,2,3,0,0,31,0,4,1,31,12,171,0,3,0,2,96,1,1,0,1,2
